active_power,wind_speed
26.21234732758621,3.0427498620689657
59.63265754736842,3.4248138736842098
40.88965007810344,3.5071722534482763
34.39811118070176,3.4422121280701763
29.79765293684211,3.031363024561404
103.80585780357146,3.7816962375
89.30420040425535,3.727461544680852
136.31917167241386,4.154484306896554
217.11201490909093,4.642134330909091
256.42811898305087,4.84175910677966
224.9163240350877,4.632541935087719
229.62921392857143,4.772844462500001
286.560796440678,4.9848472440677964
343.90975105263163,5.276923465789475
225.87665357142848,4.656971225
322.2987994827586,5.196896344827587
340.23673982758623,5.307420520689655
220.99877017857145,4.790055167857141
229.21365172413783,4.873904984482759
189.7086514035088,4.5996436912280725
198.10686053571428,4.658010496428571
178.0488847058824,4.620670294117646
172.37599252631577,4.581650670175439
220.1607924489796,4.76559368367347
208.26796879310348,4.615151513793101
216.03967767857148,4.479508732142857
253.39137637931032,4.8122136
347.0947103508772,5.2689138701754406
534.8378062499997,5.983094476785714
491.6078838983052,5.96949984915254
528.037113508772,6.136861217543862
644.3280515789478,6.375931407017544
830.532725172414,6.944667036206898
777.2496228070175,6.9107859775862055
720.9764385964909,6.641032016071428
637.0425003448275,6.353161906896551
873.2262033333333,7.134513815789473
835.1425098245611,6.9281734929824585
600.1185401724135,6.244961920689657
585.887222413793,6.189146394827588
477.3540842857144,5.860612378571428
423.9657868965516,5.691830858620689
363.2574268421053,5.3257366210526325
438.102748245614,5.593313833333335
417.4676305172416,5.681041215517241
329.31551789473684,5.509603305263159
240.5203916071429,4.779953364285717
135.73006613559326,4.3578947542372894
152.7508313333333,4.450219085964913
40.3458011754386,3.485477054385964
31.647633732758628,3.2932463982758606
42.530995766666656,3.6502946
9.480033354464284,3.2664712892857146
70.91510220338985,3.821633732203391
156.0226263636364,4.375063536363636
200.8391671428572,4.732114060714286
376.20216379310347,5.7388498241379295
540.3748,6.527933099999999
662.6859421428571,6.632932007142857
816.9362063793102,7.159096287931035
727.1199826315786,6.8703647245614015
719.5318291666665,6.7850165062500025
555.1259787719299,6.097084103508769
614.5709085964912,6.349264792982456
615.3126470689654,6.3442877517241385
526.42443,6.092022055555558
386.0106867857143,5.8653641214285726
464.7363820689656,6.0031601431034485
618.5136389473682,6.629677017543857
610.9010466666667,6.540224419298244
659.8173375862067,6.468927443103449
545.5931505,6.1929348000000015
347.3710453571428,5.563871196428571
323.34751017241376,5.484017032758621
294.16374578947364,5.349969936842107
237.9851654561404,4.790603366666668
86.66967722413794,3.749660165517242
78.79906270833331,3.7930810562500006
74.60319982631583,3.322501614035088
20.43141097263157,3.1415332000000014
113.4089560521053,3.8238279438596505
149.36059563157897,4.173245424561404
140.69765644827586,3.938068798275861
45.877304,3.1346998
155.23297448148148,4.347929451851852
134.09322508474574,4.001028649152541
153.45362481929826,4.278066480701754
175.7115755614035,4.193185808771932
431.185195,5.39504985
117.47487555614036,3.733806877192984
88.2162870617647,3.762217532352941
1.249852310526313,3.3573823122807025
58.11110469160717,3.7500926767857146
90.2677182237288,3.796891364406779
65.69537194561403,3.430557724561403
29.354176322413803,3.2892308982758616
37.68358461403509,3.17184547017544
83.38567364705884,3.6679703882352936
43.79712659821429,2.973871310714284
113.82179480701755,4.259843696491228
43.17438000172412,3.230318808620689
88.50390986666666,3.6327191333333335
51.26393727499999,3.236589146428573
37.94818169830509,3.150410018644069
119.58859219298245,3.8268735122807023
151.81433483928572,4.202603346428572
164.50766464406783,4.25652692542373
149.01566882456143,4.20472611403509
110.86411878431372,3.879713570588237
83.43301772413794,3.751818772413794
110.20513052941178,3.8366763352941184
246.8327892857144,4.632174778571427
190.55045916666663,4.369758116666667
191.2204989473684,4.495087492982457
187.9360775438596,4.493815607017544
217.852034117647,4.629717423529412
179.456116122807,4.4260155771929846
95.83902626315786,3.899778775438597
106.40336093103453,4.014465334482758
145.79956362068967,4.186655036206897
118.45925392857148,4.0589873017857165
141.3810483275862,4.276530881034484
192.8853451111112,4.659624215555555
200.50177035714287,4.462046253571429
211.0219060344828,4.6603877189655165
234.0705436842105,4.884868198245616
242.17740684210528,4.941343666666668
517.7467916666667,5.9410720972222215
663.1092708695653,6.416795495652176
459.0446928571429,5.845774889285713
358.23159913793114,5.557429108620691
416.5540070175439,5.654064766666669
584.0145862068965,6.443103224137929
612.5266526315787,6.240387603508769
657.1521252631577,6.345238429824562
751.7620029310342,6.674289522413794
779.3169763157895,6.879052426315791
800.2156456140352,6.874382278947369
948.9200641379311,7.088573932758617
1021.0426915789473,7.616057508771927
947.402659473684,7.242729543859652
852.7463894827582,7.005918770689656
962.2576678947368,7.428369908771932
1228.1237345614031,7.883360929824563
1354.4108948275862,8.163575396551726
1209.5292696491224,7.916725952631579
1447.9897385964914,8.336011766666667
1593.3490275862066,8.489303041379312
1425.9449263157894,8.096159205263161
1234.3045877192988,7.736045270175442
1257.0807017241382,7.835711624137932
1297.9899070175436,8.138915314035088
1188.5710596491224,7.656110192982456
1231.4345620689658,7.954678881034484
1133.6993562068967,7.861944358620692
1020.5810410714284,7.485321160714284
1070.335439310345,7.61437211724138
905.5123056896552,7.163180789655176
846.1370432692306,6.987761267307691
760.7610991379311,7.038925594827588
584.0017715789472,6.372357761403509
492.46903736842086,6.150901575438595
464.02426241379305,5.986134301724138
412.25451157894736,5.719054224561403
509.84558696428576,5.9397533892857135
746.2602232203386,6.845360827118646
811.4337096491226,6.825194542105263
704.6740778947369,6.604384001754386
547.2701870689656,6.184887791379311
465.7832629824563,5.83313493508772
475.0125694444444,5.930127625000001
470.6870462068965,5.825613618965519
498.3313031578948,5.924973489473683
